Abbreviation,Full-Form,Type,Pronunciation
MBBS,Bachelor of  Medicine and Bachelor of  Surgery,initialism,
MCAs,Model Concession Agreements,initialism,MCAs
MCLR,Marginal Cost of  Funds-Based Lending Rate,initialism,
MDB,Multilateral Development Banks,initialism,
MDoNER,Ministry of Development of North Eastern Region,initialism,MD o NER
MEA,Ministry of External Affairs,initialism,
MFI,Micro Finance Institutions,,
MFN,Most Favoured Nation,initialism,
MGNREGS,Mahatma Gandhi National Rural Employment Guarantee Scheme,initialism,
MI,Mission Indradhanush,initialism,
MIB,Ministry of Information and Broadcasting,initialism,
MICE,"Meetings, Incentives, Conference, Exhibitions",acronym,
MIDH,Mission for Integrated Development of  Horticulture,initialism,
MIFF,Mumbai International Film FestivalStatistical Handbook on Media & Entertainment Sector 2022-2310,initialism,
MIS,Management Information System,initialism,
MISS,Modified Interest Subvention Scheme,acronym,
MITRA,Maharashtra Institute for Transformation,acronym,
MM,Money Multiplier,initialism,
MMF,Man-Made Fibre,initialism,
MMR,Maternal Mortality Ratio,initialism,
MMT,Million Metric Tonne,initialism,
MNRE,Ministry of New and Renewable Energy,initialism,
MOVCDNER,Mission Organic Value Chain Development for North Eastern Region,initialism,
MPC,Monetary Policy Committee,initialism,
MPI,Multidimensional Poverty Index,initialism,
MSDE,Ministry of  Skill Development and Entrepreneurship,initialism,
MSF,Marginal Standing FacilityxxiiMSH MeitY Start-up Hub,initialism,
MSME,"Ministry of  Micro, Small & Medium Enterprises",initialism,
MSMED,"Act Micro, Small and Medium Enterprises Development Act",initialism,
MSO,Multi-System Operator,initialism,
MSP,Minimum Support Price,initialism,
MT,Metric Tonnes,initialism,
MTOE,Million Tonnes of  Oil Equivalent,initialism,
MTPA,Million Tonnes Per Annum,initialism,
MUDRA,Micro Units Development & Refinance Agency,acronym,
MVT,Medical Value Tourism,initialism,
MW,Mega Watt,initialism,
MeitY,Ministry of  Electronics and Information Technology,acronym,
MiCA,Markets in Crypto Assets,initialism,
MoH&FW,Ministry of Health and Family Welfare,initialism,
MoHFW,Ministry of  Health and Family Welfare,initialism,
MoHUA,Ministry of Housing and Urban Affairs,initialism,
MoLE,Ministry of  Labour and Employment,initialism,
MoMSME,"Ministry of Micro, Small and Medium Enterprises",initialism,
MoSPI,Ministry of  Statistics and Programme Implementation,initialism,
MoU,Memorandum of  Understanding,acronym,M o U
NABARD,National Bank for Agriculture and Rural Development,acronym,
NADCP,National Animal Disease Control Programme,initialism,
NAFCC,National Adaptation Fund for Climate Change,initialism,
NAIS,National Agency for Information Society,initialism,
NAP,National Afforestation Programme,acronym,
NAPCC,National Action Plan on Climate Change,initialism,
NAPS,National Apprenticeship Promotion Scheme,acronym,
NAS,National Achievement Survey,acronym,
NASDAQ,National Association of  Securities Dealers Automated Quotations,initialism,
NASSCOM,National Association of  Software and Services Companies,acronym,
NBC,Net borrowing Ceiling,initialism,
NBFC,Non Banking Financial Companies,initialism,
NCAER,National Council of  Applied and Economic Research,initialism,
NCF,National Curriculum Framework,initialism,
NCGTC,National Credit Guarantee Trustee Corporation,initialism,
NCQG,New Collective Quantified Goal,initialism,
NCS,Non-Convertible Securities,initialism,
NCrF,National Credit Framework,initialism,
NDC,Nationally Determined Contribution,initialism,
NEEPCO,North Eastern Electric Power Corporation Limited,initialism,
NEER,Nominal effective exchange rate,acronym,
NEFT,National Electronic Funds Transfer,initialism,
NEP,National Education Policy,acronym,
NER,North-Eastern Region,acronym,
NFAP,National Frequency Allocation Plan,initialism,N FAP
NFDC,National Film Development Corporation of India,initialism,
NFHS,National Family Health Survey,initialism,
NFSA,National Food Security Act,initialism,
NFSM,National Food Security Mission,initialism,
NGO,Non-Government Organisation,initialism,
NHA,National Health Account,initialism,
NHAI,National Highways Authority of  India,initialism,
NHB,National Housing BankxxiiiNHEQF National Higher Education Qualification Framework,initialism,
NHM,National Health Mission,initialism,
NHP,National Health Policy,initialism,
NHs,National Highways,initialism,
NIDHI,National Initiative for Developing and Harnessing Innovations,acronym,
NII,Net Interest Income,initialism,
NILERD,National Institute of Labour Economics Research and Development,initialism,
NINL,Neelachal Ispat Nigam Limited,initialism,
NIP,National Infrastructure Pipeline,initialism,
NIT,National Institute of  Technology,acronym,
NITI,National Institution for Transforming India,acronym,
NL,New lines,initialism,
NLEM,National List of  Essential Medicines,initialism,
NLM,National Livestock Mission,initialism,
NLP,National Logistics Policy,initialism,
NLP-Marine,National Logistics Portal-Marine,initialism,NLP - Marine
NMC,National Medical Commission,initialism,
NMIC,National Museum of Indian Cinema,initialism,
NMMS,National Mobile Monitoring Software,initialism,
NMP,National Monetisation Pipeline,initialism,
NMR,Neonatal Mortality Rate,initialism,
NNPA,Net Non-Performing Asstes,initialism,
NOC,No Objection Certificate,initialism,
NOTP,National Organ Transplant Programme,initialism,N OTP
NPA,Non-Performing Asset,initialism,
NPCC,National Projects Construction Corporation Limited,initialism,
NPCI,National Payment Corporation of  India,initialism,
NPCIL,National Payments Corporation of  India International,initialism,
NPISHs,Households and non-profit,initialism,
NPPA,National Pharmaceuticals Pricing Authority,initialism,
NPPP,National Pharmaceuticals Pricing Policy,initialism,
NPS,National Pension Scheme,initialism,
NRCP,National River Conservation Plan,initialism,
NRI,Non-Resident Indians,initialism,
NRLM,National Rural Livelihood Mission,initialism,
NSAP,National Social Assistance Programme,initialism,
NSE,National Stock Exchange,initialism,
NSO,National Statistical Office,initialism,
NSP,National Scholarship Portal,initialism,
NSQF,National Skills Qualification Framework,initialism,
NSS,National Sample Survey,initialism,
NSS-EUS,NSS Employment Unemployment Survey,initialism,
NSWS,National Single Window System,initialism,
NTBs,Non-tariff  barriers,initialism,
NTCA,National Tiger Conservation Authority,initialism,
NWs,National WaterwaysxxivOCB Overseas Corporate body,initialism,
NaBFID,National Bank for Financing Infrastructure and Development,acronym,NaB FID
Ne-FMS,National Electronic Fund Management System,initialism,Ne - FMS
NeSL,National e-Governance Services Limited,initialism,
Non-SED,Non- Sovereign External Debt,initialism,Non  -SED
OBD,Outbound Dialer,initialism,
OC-MIS,OxyCare Management Information System,initialism,OC - MIS
OCC,Office of  the Comptroller of  the Currency,initialism,
OCEN,Open Credit Enablement Network,acronym,
OD-OP,One District – One Product,initialism,OD - OP
ODF,Open Defecation Free,initialism,
ODL,Open and Distance Learning,initialism,
ODOP,One District One Product,initialism,
OECD,Organisation of  Economic Cooperation and Development,initialism,
OEM,Original Equipment Manufacturers,initialism,
OLED,Organic light emitting diode,initialism,O LED
ONDC,Open Network for Digital Commerce,initialism,
ONGC,Oil and Natural Gas Corporation,acronym,
ONORC,One Nation One Ration Card,initialism,
OOMF,Output–Outcome Monitoring Framework,initialism,
OOPE,Out-of-Pocket Expenditure,initialism,
OPEC,Organisation of  the Petroleum Exporting Countries,acronym,O PEC
OSAT,Outsourced Semiconductor Assembly and Test,initialism,O SAT
OoSC,Out-of-School Children,initialism,
Opex,Operating Expenditure,acronym,O PEX
PA,Provisional Actual,initialism,
PACS,Primary Agriculture Credit Societies,acronym,PACS
PAT,"Perform, Achieve and Trade",acronym,
PBE,Postal Bill of  Export,initialism,
PCA,Prompt Corrective Action,initialism,
PCR,Provisioning Coverage Ratio,initialism,
PCS,Port Community System,initialism,
PDCs,Project Development Cells,initialism,
PDMC,Public Debt Management Cell,initialism,
PDS,Public Distribution System,initialism,
PE,Provisional Estimates,initialism,
PFC,Power Finance Corporation,initialism,
PFCE,Private Final Consumption Expenditure,initialism,
PFRDA,Pension Fund Regulatory and Development Authority,initialism,
PHC,Primary Health Center,initialism,
PIB,Press Information Bureau,initialism,
PIBOs,"Producers, Importers, and Brand Owners",initialism,
PKVY,Paramparagat Krishi Vikas Yojana,initialism,
PLFS,Periodic Labour Force Survey,initialism,
PLI,Production Linked Incentive,initialism,
PLISFPI,Production Linked Incentive Scheme for Food Processing Industry,initialism,
PM,SVANidhi Pradhan Mantri Street Vendor’s Aatmanirbhar Nidhi SchemexxvPMAY-G Pradhan Mantri Awaas Yojana –Gramin,initialism,
PM-KISAN,Pradhan   Mantri  Kisan Samman Nidhi,acronym,PM - KISAN
PM-KUSUM,Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan,acronym,PM - KUSUM
PM-SYM,Pradhan Mantri Shram Yogi Maan-Dhan,initialism,PM - SYM
PMAY-U,Pradhan Mantri Awas Yojana-Urban,initialism,PMAY - U
PMBJKs,Pradhan Mantri Bhartiya Janaushadhi Kendras,initialism,
PMBJP,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,initialism,
PMEAC,Prime Minister’s Economic Advisory Council,initialism,
PMFBY,Pradhan Mantri Fasal Bima Yojana,initialism,
PMFME,Prime Minister’s Formalisation of  Micro Food Processing Enterprises,initialism,
PMG,Project Monitoring Group,initialism,
PMGKAY,Pradhan Mantri Garib Kalyan Anna Yojana,initialism,
PMGKY,Pradhan Mantri Garib Kalyan Yojana,initialism,
PMGSY,Pradhan Mantri Gram Sadak Yojana,initialism,
PMI,Purchasing  Managers Index,initialism,
PMJAY,Pradhan Mantri Jan Arogya Yojana,initialism,
PMJBY,Pradhan Mantri Jeevan Jyoti Bima Yojana,initialism,
PMJDY,Pradhan Mantri Jan Dhan Yojana,initialism,
PMJJBY,Pradhan Mantri Jeevan Jyoti Bima Yojana,initialism,
PMKK,Pradhan Mantri Kaushal Kendra,initialism,
PMKSY,Pradhan Mantri Kisan SAMPADA Yojana,initialism,
PMKVY,Pradhan Mantri Kaushal Vikas Yojana,initialism,
PMMSY,Pradhan Mantri Matsya Sampada Yojana,initialism,
PMMVY,Pradhan Mantri Matru Vandana Yojana,initialism,
PMP,Phased Manufacturing Plan,initialism,
PMSBY,Pradhan Mantri Suraksha Bima Yojana,initialism,
PMSSY,Pradhan Mantri Swasthya Suraksha Yojana,initialism,
PMUY,Pradhan Mantri Ujjwala Yojana,initialism,
PMVVY,Pradhan Mantri Vaya Vandana Yojana,initialism,
POL,"Petroleum, oil and lubricants",acronym,POL
POSHAN,Prime Minister’s Overarching Scheme for Holistic Nutrition,acronym,
PPAC,Petroleum Planning and Analysis Cell,acronym,P PAC
PPC,Policy Planning Cell,initialism,
PPP,Purchasing Power Parity,initialism,
PPPAC,Public Private Partnership Appraisal Committee,initialism,PP PAC
PRASHAST,Pre Assessment Holistic Screening Tool,acronym,
PRIs,Panchayati Raj Institutions,initialism,
PRTs,Private Registered Troops,initialism,
PSA,Pressure swing adsorption,initialism,
PSBs,Public Sector Banks,initialism,
PSE,Public Sector Enterprises,initialism,
PSHICMI,Policy and Strategy for Health Insurance Coverage of India,initialism,
PSL,Priority Sector Lending,initialism,
PSU,Public Sector Undertaking,initialism,
PV,Photovoltaic,initialism,
PVBs,Private Sector BanksxxviPWPs Plastic Waste Processors,initialism,
QE,Quarter Ending,initialism,
QES,Quarterly Employment Survey,initialism,
QFSA,Qatar Financial Services Authority,initialism,
QIP,Qualified Institutional Placement,initialism,
R&D,Research and Development,initialism,R & D
RAFTAAR,Remunerative Approaches for Agriculture and Allied Sectors Rejuvenation,acronym,
RAMP,Scheme Raising and Accelerating MSME Performance Scheme,acronym,
RBI,Reserve Bank of  India,initialism,
RCB,Reducing the Compliance Burden,initialism,
RCEP,Regional Comprehensive Economic Partnership Agreement,initialism,
RCS,Regional Connectivity Scheme,initialism,
RDC,Research & Development Cell,initialism,
RE,Revised Estimates,initialism,
REC,Rural Electrification Corporation,initialism,
REE,Rare Earth Elements,initialism,
REER,Real Effective Exchange Rate,initialism,
REIT,Real Estate Investment Trusts,initialism,
REITs,Real Estate Investment Trusts,initialism,
RERA,Real Estate (Regulation and Development) Act,initialism,
RF,Radio Frequency,initialism,
RFID,Radio Frequency Identification Device,initialism,
RFP,Request for Proposal,initialism,
RFQ,Request for Qualification,initialism,
RGSA,Rashtriya Gram Swaraj Abhiyan,initialism,
RHS,Right hand Side,initialism,
RIC,Road and Infrastructure Cess,initialism,
RKM,Route Kilometres,initialism,
RKVY,Rashtriya Krishi Vikas Yojana,initialism,
RMNCAH+N,"Reproductive, Maternal, New-born, Child , Adolescent Health Plus Nutrition",initialism,RMNCAH + N
RMS,Rabi Marketing Season,initialism,
RNFC,Route Navigation Facility Charges,initialism,
RNI,Registrar of Newspapers for India,initialism,
ROA,Return on Assets,initialism,
ROE,Return on Equity,initialism,
ROT,Rehabilitate-Operate-Transfer,initialism,
RPL,Recognition of  Prior Learning,acronym,
RPO,Renewable Purchase Obligation,initialism,
RSETI,Rural Self  Employment Training Institutes,initialism,
RTAs,Regional Trading Arrangements,initialism,
RTE,Right to Education,initialism,
RTGS,Real-Time Gross SettlementxxviiRWAs Risk Weighted Assets,initialism,
RevPAR,Revenue per Avaiable Room,initialism,REv PAR
RoDTEP,Remission of  Duties and Taxes on Exported Products,acronym,RoD TEP
RoSCTL,Rebate of  State and Central Taxes and Levies,initialism,
RoW,Right of  Way,initialism,
S&P,Standard and Poor,initialism,
SAATHI,"System for Assessment, Awareness, and Training for Hospitality Industry",acronym,
SAMARTH,Smart Advanced Manufacturing and Rapid Transformation Hubs,acronym,
SARFAESI,Securitization and Reconstruction of  Financial Assets and Enforcement of  Securities Interest,acronym,
SATH-E,Sustainable Action for Transforming Human Capital-Education,acronym,SATH - E
SAUBHAGYAPradhan,Mantri Sahaj Bijli Har Ghar Yojana,acronym,SAUBHAGYA Pradhan
SBI,Subsidiary Body for Implementation,initialism,
SBM(G),Swachh Bharat Mission – Grameen,initialism,SBM G
SBSTA,Subsidiary Body for Scientific and Technological Advice,initialism,
SC-NEC,Sub-Committee of National Executive Committee,initialism,
SCBs,Scheduled Commercial Banks,initialism,
SCCL,Singareni Collieries Company Limited,initialism,
SCs,Sub centres,initialism,
SDF,Standing Deposit Facility,initialism,
SDG,Sustainable Development Goals,initialism,
SDGs,Sustainable Development Goals,initialism,
SDLs,State Development Loans,initialism,
SDRs,Special Drawing Rights,initialism,
SEBI,Securities and Exchange Board of  India,acronym,
SECC,Socio Economic and Caste Census,initialism,
SECI,State Energy & Climate Index,initialism,
SED,Sovereign External Debt,initialism,
SEQI,School Education Quality Index,initialism,
SETU,State Institute of Empowering and Transforming Uttarakhand,acronym,
SGRC,State Level Grievance Redressal Committee,initialism,
SGST,State Goods and Services Tax,acronym,
SGrBs,Sovereign Green Bonds,initialism,SG r Bs
SHCs,Sub Health Centres,initialism,
SHG,Self-Help Groups,acronym,
SHG-BLP,SHG Bank Linkage Project,initialism,SHG - BLP
SHGs,Self-help groups,acronym,
SIAM,Society of  Indian Automobile Manufacturers,initialism,
SIDS,Small Island Developing States,initialism,
SIP-EIT,Support for International Patent Protection in E&IT,initialism,SIP - EIT
SIT,State Institution for Transformation,acronym,
SMAF,Sub-Mission on Agro-forestry,initialism,
SMAM,Sub Mission on Agricultural Mechanisation,initialism,
SMEs,Small and Medium Enterprises,acronym,
SMS-Short,Message Service,acronym,SMS - Short
SOP,Standard operating procedures,initialism,
SPECS,Scheme for Promotion of  Manufacturing of  Electronic Components and Semiconductors,acronym,
SPI,Strengthening the Pharmaceutical Industry,initialism,
SPSE,State Public Sector Enterprises,initialism,
SRF,Special Refinance Facility,initialism,
SRS,Sample Registration System,initialism,
SSBs,Standard-Setting Bodies,initialism,
SSS,Securities Settlement System,initialism,
ST,Scheduled Tribe,initialism,
STARS,Strengthening Teaching-Learning and Results for States,acronym,
STC,State Transformation Commission,initialism,
STT,Short Term Training,initialism,
SVAMITVA,Survey of  Villages and Mapping with Improvised Technology in Village Areas,acronym,
SVEP,Start-Up Village Entrepreneurship ProgrammexxviiiSWIFT Single Window Interface for Trade,initialism,
Science,"Act, 2022Creating Helpful Incentives to Produce Semiconductors and Science Act, 2022",acronym,
SoI,Statement of Intent,initialism,
SoP,Standard Operating Procedures,initialism,SOP
T-Bills,Treasury Bills,acronym, T - Bills
TAT,Turn Around Time,initialism,
TDGVA,Tourism Direct Gross Value Added,initialism,
TDS,Tax Deducted at Source,initialism,
TEDs,Technical Expert Dialogues,acronym,
THDC,Tehri Hydro Development Corporation Limited,initialism,
THE,Total Health Expenditure,initialism,
TIDE,Technology Incubation and Development of  Entrepreneurs,acronym,
TKM,Track Kilometres,initialism,
TNLC,Terminal Navigational Landing Charges,initialism,
TOT,Toll-Operate-Transfer,initialism,
TR,Trade Repositories,initialism,
TRAI,Telecom Regulatory Authority of  India,acronym,
TRIFED,Tribal Cooperative Marketing Development Federation of  India Limited,acronym,
TReDS,Trade Receivables Discounting System,initialism,
TTS,Travel and Tourism Stakeholders,initialism,
U-DISE,Unified District Information System for Education Plus,initialism,
U5MR,Under Five Mortality Rate,initialism,
UAE,United Arab Emirates,initialism,
UDAN,Ude Desh ka Aam Nagrik,acronym,
UDISE,Unified District Information System for Education,initialism,
UGC,University Grants Commission,initialism,
UIDAI,Unique Identification Authority of  India,initialism,
UIP,Universal Immunisation Programme,initialism,
UK,United Kingdom,initialism,
ULB,Urban Local Body,initialism,
UMANG,Unified Mobile Application for New Age Governance,acronym,
UNCTAD,United Nations Conference on Trade and Development,initialism,
UNDP,United Nation Development Programme,initialism,
UNFCCC,United Nations Framework Convention on Climate Change,initialism,
UNICEF,United Nations International Children’s Emergency Fund,acronym,
UNWTO,United Nations World Tourism Organisation,initialism,
UPI,Unified Payment Interface,initialism,
UR,Unemployment rate,acronym,
US,Fed US Federal Reserve,initialism,
USA,United States of  America,initialism,
USOF,Universal Service Obligation Fund,initialism,
UTs,Union Territories,initialism,
VA,Virtual Asset,initialism,
VASP,Virtual Asset Service Provider,acronym,
VAT,Value Added Tax,acronym,
VC,Venture Capital,initialism,
VCR,Video Cassette recorder,initialism,
VDA,Virtual Digital Assets,initialism,
VGF,Viability Gap Funding,initialism,
VIP,Ventilated Improved Pit,initialism,
VIX,Volatility IndexxxixVOs Village Organisations,initialism,
VRR,Variable Repo Rate,initialism,
WACR,Weighted Average Call Rate,initialism,
WADTDR,Weighted Average Domestic Term Deposit Rate,initialism,
WALR,Weighted Average Lending Rate,initialism,
WEO,World Economic Outlook,initialism,
WHO,World Health Organisation,acronym,
WPI,Wholesale Price Index,initialism,
WPR,Worker population ratio,initialism,
WTO,World Trade Organisation,initialism,
YoY,Year-on-Year,acronym,
ZBNF,Zero-Budget Natural Farming,initialism,
e,PPO Electronic Pension Payment Order,initialism,
e-BG,Electronic Bank Guarantee,initialism,e - BG
e-BL,Electronic Bill of  Lading,initialism,e - BL
e-DO,Electronic Delivery Order,acronym,e - DO
e-FMS,Electronic Fund Management System,acronym,e - FMS
e-NAM,National Agriculture Market,acronym,e - NAM
e-PRAN,electronic-Pension Retirement Account Number,acronym,e _ PRAN
e-PoS,Electronic Point of  Sale,initialism,e - POS
eVIN,Electronic Vaccine Intelligence Network,initialism,e VIN